世界游泳锦标赛继续举行,1991-01-13,1991-01,体育
王永刚获亚洲杯乒乓球赛男单冠军,1991-03-11,1991-03,体育
我国棋手进步明显,1991-03-16,1991-03,体育
中国田径运动员成绩实实在在 全部通过国际田联兴奋剂抽查,1991-03-24,1991-03,体育
中国队共夺３项冠军,1991-03-26,1991-03,体育
佩尔森获瑞典大奖赛冠军,1991-04-05,1991-04,体育
陈尊荣刷新男子跳远亚洲纪录,1991-06-04,1991-06,体育
第二届中国台球精英赛将在京举行,1991-06-14,1991-06,体育
中国队获加法尔杯网球赛决赛权,1991-07-08,1991-07,体育
北京举办国际象棋新星赛,1991-07-17,1991-07,体育
中国铅球名将隋新梅上阵,1991-07-20,1991-07,体育
不寻常的一块金牌——夏加平夺冠记,1991-07-23,1991-07,体育
中国队稳进半决赛,1991-08-30,1991-08,体育
中国队将与南朝鲜队争夺亚洲冠军,1991-09-01,1991-09,体育
金桂杯国际象棋赛结束,1991-09-01,1991-09,体育
谢军再次战和齐布尔达尼泽,1991-09-30,1991-09,体育
南联邦国防部长抨击海牙会议文件主席团部分成员会议接受征兵建议,1991-10-24,1991-10,体育
原青海省人大副主任韩福才受贿三万五千元被判刑八年,1991-12-14,1991-12,体育
